                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41717,                0.45455,                      1,                0.28149,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.35226,                    0.5,                      1,                0.24573,             0.00014971,             0.00014971,             0.00014971
                      3,                0.28966,                0.54545,                      1,                0.23511,             0.00022709,             0.00022709,             0.00022709
                      4,                0.24018,                0.59091,                      1,                0.22839,             0.00030282,             0.00030282,             0.00030282
                      5,                0.19457,                0.59091,                      1,                0.21777,             0.00037622,             0.00037622,             0.00037622
                      6,                0.24268,                0.77273,                      1,                0.20056,             0.00044661,             0.00044661,             0.00044661
                      7,                0.19681,                0.77273,                      1,                0.19031,             0.00051336,             0.00051336,             0.00051336
                      8,                0.15744,                0.77273,                      1,                0.19556,             0.00057587,             0.00057587,             0.00057587
                      9,                0.16681,                0.81818,                      1,                0.18433,             0.00063357,             0.00063357,             0.00063357
                     10,                0.12344,                0.77273,                      1,                0.17126,             0.00062932,             0.00062932,             0.00062932
                     11,                0.12434,                0.86364,                      1,                0.16333,             0.00062932,             0.00062932,             0.00062932
                     12,                0.12671,                0.86364,                      1,                0.16907,             0.00061048,             0.00061048,             0.00061048
                     13,                0.13277,                0.86364,                      1,                0.16687,              0.0005901,              0.0005901,              0.0005901
                     14,                0.09455,                0.77273,                      1,                0.17737,             0.00056831,             0.00056831,             0.00056831
                     15,                0.10404,                0.72727,                      1,                0.17053,             0.00054524,             0.00054524,             0.00054524
                     16,                0.10412,                0.86364,                      1,                0.16724,             0.00052102,             0.00052102,             0.00052102
                     17,                 0.1132,                0.81818,                      1,                 0.1593,             0.00049582,             0.00049582,             0.00049582
                     18,                0.07281,                0.72727,                      1,                0.18262,             0.00046979,             0.00046979,             0.00046979
                     19,                0.09052,                0.77273,                      1,                0.18396,             0.00044308,             0.00044308,             0.00044308
                     20,                0.09683,                0.77273,                      1,                0.18848,             0.00041586,             0.00041586,             0.00041586
                     21,                0.07723,                0.77273,                      1,                0.18079,              0.0003883,              0.0003883,              0.0003883
                     22,                0.06265,                0.81818,                      1,                0.17651,             0.00036057,             0.00036057,             0.00036057
                     23,                0.10705,                0.77273,                      1,                0.17944,             0.00033284,             0.00033284,             0.00033284
                     24,                0.06731,                0.72727,                      1,                 0.1958,             0.00030528,             0.00030528,             0.00030528
                     25,                0.07277,                0.72727,                      1,                0.19751,             0.00027806,             0.00027806,             0.00027806
                     26,                0.08572,                0.77273,                      1,                0.18848,             0.00025135,             0.00025135,             0.00025135
                     27,                0.07136,                0.81818,                      1,                0.19055,             0.00022532,             0.00022532,             0.00022532
                     28,                0.04801,                0.81818,                      1,                0.18372,             0.00020012,             0.00020012,             0.00020012
                     29,                0.06793,                0.77273,                      1,                0.18481,              0.0001759,              0.0001759,              0.0001759
                     30,                0.06642,                0.86364,                      1,                0.17419,             0.00015283,             0.00015283,             0.00015283
                     31,                0.06554,                0.77273,                      1,                 0.1803,             0.00013104,             0.00013104,             0.00013104
                     32,                0.05351,                0.81818,                      1,                0.18726,             0.00011066,             0.00011066,             0.00011066
                     33,                0.06039,                0.81818,                      1,                0.17444,              9.182e-05,              9.182e-05,              9.182e-05
                     34,                0.10864,                0.81818,                      1,                0.17859,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     35,                0.04182,                0.77273,                      1,                 0.1814,             5.9221e-05,             5.9221e-05,             5.9221e-05
                     36,                0.04636,                0.68182,                      1,                0.20752,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     37,                0.05855,                0.72727,                      1,                0.19031,             3.4043e-05,             3.4043e-05,             3.4043e-05
                     38,                0.04851,                0.72727,                      1,                0.19092,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     39,                0.05565,                0.72727,                      1,                0.18738,             1.6905e-05,             1.6905e-05,             1.6905e-05
                     40,                0.04965,                0.77273,                      1,                0.17688,             1.1491e-05,             1.1491e-05,             1.1491e-05
                      1,                0.39748,                0.40816,                      1,                 0.6019,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.35286,                0.59184,                      1,                0.53572,             0.00014971,             0.00014971,             0.00014971
                      3,                0.31866,                0.65306,                      1,                 0.4877,             0.00022709,             0.00022709,             0.00022709
                      4,                0.23468,                0.71429,                      1,                0.46638,             0.00030282,             0.00030282,             0.00030282
                      5,                0.21886,                0.79592,                      1,                0.45407,             0.00037622,             0.00037622,             0.00037622
                      6,                0.21363,                0.77551,                      1,                0.43691,             0.00044661,             0.00044661,             0.00044661
                      7,                0.21924,                0.71429,                      1,                 0.4335,             0.00051336,             0.00051336,             0.00051336
                      8,                0.17691,                0.87755,                      1,                0.38479,             0.00057587,             0.00057587,             0.00057587
                      9,                0.15309,                0.83673,                      1,                0.40304,             0.00063357,             0.00063357,             0.00063357
                     10,                0.16386,                 0.7551,                      1,                0.41387,             0.00062932,             0.00062932,             0.00062932
                     11,                0.14665,                0.83673,                      1,                0.39509,             0.00062932,             0.00062932,             0.00062932
                     12,                0.12159,                0.83673,                      1,                0.38287,             0.00061048,             0.00061048,             0.00061048
                     13,                0.10182,                 0.7551,                      1,                0.40389,              0.0005901,              0.0005901,              0.0005901
                     14,                 0.1412,                0.77551,                      1,                0.40284,             0.00056831,             0.00056831,             0.00056831
                     15,                0.12975,                0.83673,                      1,                 0.3833,             0.00054524,             0.00054524,             0.00054524
                     16,                0.09897,                0.81633,                      1,                0.37133,             0.00052102,             0.00052102,             0.00052102
                     17,                0.10358,                0.87755,                      1,                0.36254,             0.00049582,             0.00049582,             0.00049582
                     18,                0.10015,                0.87755,                      1,                0.34887,             0.00046979,             0.00046979,             0.00046979
                     19,                0.13424,                0.89796,                      1,                 0.3423,             0.00044308,             0.00044308,             0.00044308
                     20,                0.09923,                0.83673,                      1,                0.35832,             0.00041586,             0.00041586,             0.00041586
                     21,                0.08388,                0.83673,                      1,                 0.3668,              0.0003883,              0.0003883,              0.0003883
                     22,                0.08446,                0.87755,                      1,                0.35772,             0.00036057,             0.00036057,             0.00036057
                     23,                0.10612,                0.83673,                      1,                0.37134,             0.00033284,             0.00033284,             0.00033284
                     24,                 0.1092,                0.81633,                      1,                0.38968,             0.00030528,             0.00030528,             0.00030528
                     25,                0.08997,                0.87755,                      1,                0.37876,             0.00027806,             0.00027806,             0.00027806
                     26,                0.06167,                0.81633,                      1,                0.37207,             0.00025135,             0.00025135,             0.00025135
                     27,                0.06383,                0.79592,                      1,                0.36474,             0.00022532,             0.00022532,             0.00022532
                     28,                0.09507,                0.81633,                      1,                0.38548,             0.00020012,             0.00020012,             0.00020012
                     29,                0.06703,                0.85714,                      1,                0.34861,              0.0001759,              0.0001759,              0.0001759
                     30,                0.08295,                0.89796,                      1,                0.34415,             0.00015283,             0.00015283,             0.00015283
                     31,                0.06061,                0.91837,                      1,                0.35398,             0.00013104,             0.00013104,             0.00013104
                     32,                0.07599,                0.83673,                      1,                0.35437,             0.00011066,             0.00011066,             0.00011066
                     33,                 0.0554,                0.85714,                      1,                 0.3518,              9.182e-05,              9.182e-05,              9.182e-05
                     34,                0.06587,                0.89796,                      1,                 0.3537,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     35,                0.05901,                0.85714,                      1,                0.35596,             5.9221e-05,             5.9221e-05,             5.9221e-05
                     36,                0.07497,                0.87755,                      1,                0.35616,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     37,                0.08957,                0.83673,                      1,                 0.3616,             3.4043e-05,             3.4043e-05,             3.4043e-05
                     38,                0.06477,                0.89796,                      1,                0.35185,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     39,                0.07027,                0.87755,                      1,                0.35497,             1.6905e-05,             1.6905e-05,             1.6905e-05
                     40,                0.06288,                0.85714,                      1,                0.35037,             1.1491e-05,             1.1491e-05,             1.1491e-05
                      1,                0.39748,                0.40816,                      1,                 0.6019,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.35285,                0.59184,                      1,                 0.5357,             0.00014979,             0.00014979,             0.00014979
                      3,                0.31859,                0.65306,                      1,                 0.4876,             0.00022759,             0.00022759,             0.00022759
                      4,                0.23459,                0.71429,                      1,                0.46619,             0.00030433,             0.00030433,             0.00030433
                      5,                0.21871,                0.79592,                      1,                0.45378,             0.00037956,             0.00037956,             0.00037956
                      6,                0.21337,                0.77551,                      1,                0.43678,             0.00045286,             0.00045286,             0.00045286
                      7,                0.21884,                0.71429,                      1,                0.43308,             0.00052378,             0.00052378,             0.00052378
                      8,                0.17629,                0.87755,                      1,                0.38385,             0.00059192,             0.00059192,             0.00059192
                      9,                0.15308,                0.83673,                      1,                0.40286,             0.00065688,             0.00065688,             0.00065688
                     10,                0.16353,                0.73469,                      1,                0.41423,             0.00065898,             0.00065898,             0.00065898
                     11,                0.14734,                0.83673,                      1,                0.39151,             0.00065898,             0.00065898,             0.00065898
                     12,                 0.1216,                0.81633,                      1,                0.38225,              0.0006465,              0.0006465,              0.0006465
                     13,                0.10201,                 0.7551,                      1,                0.40289,             0.00063289,             0.00063289,             0.00063289
                     14,                0.14038,                0.77551,                      1,                0.40036,             0.00061821,             0.00061821,             0.00061821
                     15,                0.13102,                0.81633,                      1,                0.38281,             0.00060251,             0.00060251,             0.00060251
                     16,                0.09985,                0.81633,                      1,                0.37063,             0.00058585,             0.00058585,             0.00058585
                     17,                0.10326,                0.85714,                      1,                0.36444,             0.00056831,             0.00056831,             0.00056831
                     18,                0.09888,                0.89796,                      1,                0.35048,             0.00054995,             0.00054995,             0.00054995
                     19,                0.13213,                0.91837,                      1,                0.34319,             0.00053084,             0.00053084,             0.00053084
                     20,                0.09775,                0.83673,                      1,                0.36429,             0.00051105,             0.00051105,             0.00051105
                     21,                0.08299,                0.79592,                      1,                0.37282,             0.00049068,             0.00049068,             0.00049068
