                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41644,                0.40909,                      1,                0.27881,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.34801,                0.63636,                      1,                0.23547,             0.00014971,             0.00014971,             0.00014971
                      3,                0.28702,                0.72727,                      1,                0.20776,             0.00022709,             0.00022709,             0.00022709
                      4,                0.21439,                0.54545,                      1,                0.22229,             0.00030282,             0.00030282,             0.00030282
                      5,                 0.2006,                0.68182,                      1,                0.21008,             0.00037622,             0.00037622,             0.00037622
                      6,                0.17225,                0.72727,                      1,                0.20117,             0.00044661,             0.00044661,             0.00044661
                      7,                0.13943,                0.86364,                      1,                0.16785,             0.00051336,             0.00051336,             0.00051336
                      8,                0.10572,                0.90909,                      1,                0.15723,             0.00057587,             0.00057587,             0.00057587
                      9,                0.08399,                0.77273,                      1,                0.17603,             0.00063357,             0.00063357,             0.00063357
                     10,                0.08986,                0.77273,                      1,                0.19336,             0.00062932,             0.00062932,             0.00062932
                     11,                 0.1123,                0.81818,                      1,                0.17627,             0.00062932,             0.00062932,             0.00062932
                     12,                0.10394,                0.72727,                      1,                0.20129,             0.00061048,             0.00061048,             0.00061048
                     13,                0.10548,                0.72727,                      1,                0.19543,              0.0005901,              0.0005901,              0.0005901
                     14,                0.08531,                0.77273,                      1,                0.18555,             0.00056831,             0.00056831,             0.00056831
                     15,                0.07296,                0.81818,                      1,                0.17944,             0.00054524,             0.00054524,             0.00054524
                     16,                0.09575,                0.90909,                      1,                0.14575,             0.00052102,             0.00052102,             0.00052102
                     17,                0.09353,                0.81818,                      1,                0.15271,             0.00049582,             0.00049582,             0.00049582
                     18,                0.06193,                0.81818,                      1,                0.16663,             0.00046979,             0.00046979,             0.00046979
                     19,                0.10466,                0.81818,                      1,                0.16321,             0.00044308,             0.00044308,             0.00044308
                     20,                0.05931,                0.86364,                      1,                  0.146,             0.00041586,             0.00041586,             0.00041586
                     21,                0.05528,                0.90909,                      1,                 0.1394,              0.0003883,              0.0003883,              0.0003883
                     22,                0.06733,                0.90909,                      1,                0.14221,             0.00036057,             0.00036057,             0.00036057
                     23,                0.05682,                0.86364,                      1,                0.15833,             0.00033284,             0.00033284,             0.00033284
                     24,                0.06038,                0.81818,                      1,                0.16504,             0.00030528,             0.00030528,             0.00030528
                     25,                0.04145,                0.86364,                      1,                0.16199,             0.00027806,             0.00027806,             0.00027806
                     26,                0.05114,                0.86364,                      1,                  0.151,             0.00025135,             0.00025135,             0.00025135
                     27,                0.04014,                0.86364,                      1,                0.15015,             0.00022532,             0.00022532,             0.00022532
                     28,                0.02418,                0.90909,                      1,                0.14893,             0.00020012,             0.00020012,             0.00020012
                     29,                 0.0241,                0.86364,                      1,                0.14844,              0.0001759,              0.0001759,              0.0001759
                     30,                0.03835,                0.90909,                      1,                0.14575,             0.00015283,             0.00015283,             0.00015283
                     31,                0.03175,                0.90909,                      1,                 0.1438,             0.00013104,             0.00013104,             0.00013104
                     32,                0.04414,                0.90909,                      1,                0.13989,             0.00011066,             0.00011066,             0.00011066
                     33,                  0.027,                0.90909,                      1,                0.14417,              9.182e-05,              9.182e-05,              9.182e-05
                     34,                0.04311,                0.90909,                      1,                0.14746,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     35,                0.02859,                0.90909,                      1,                0.14954,             5.9221e-05,             5.9221e-05,             5.9221e-05
                     36,                0.03994,                0.90909,                      1,                0.14465,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     37,                0.03364,                0.86364,                      1,                0.15039,             3.4043e-05,             3.4043e-05,             3.4043e-05
                     38,                0.03369,                0.86364,                      1,                0.15051,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     39,                0.03687,                0.86364,                      1,                0.15454,             1.6905e-05,             1.6905e-05,             1.6905e-05
                     40,                0.03356,                0.86364,                      1,                0.15454,             1.1491e-05,             1.1491e-05,             1.1491e-05
