                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5252,                 2.1077,                0.27931,                0.28028,                0.25788,                0.16156,                0.04781,                 1.0619,                0.67032,                0.08668,             0.00066536,             0.00066536,             0.00066536
                      2,                  1.189,                0.60268,                0.11722,                0.31501,                0.25169,                 0.1825,                 0.0576,                 1.0598,                0.60589,                0.08372,              0.0013176,              0.0013176,              0.0013176
                      3,                 1.1436,                0.61239,                0.10992,                0.30345,                0.28247,                0.20174,                0.06077,                 1.0796,                0.60084,                0.09173,              0.0019132,              0.0019132,              0.0019132
                      1,                 1.5376,                  2.173,                0.28615,                0.26096,                0.24212,                0.13966,                 0.0397,                 1.1137,                0.60966,                0.08871,             0.00066405,             0.00066405,             0.00066405
                      2,                 1.1854,                0.59917,                0.12458,                0.33932,                0.28499,                0.21579,                0.07303,                 1.1011,                0.57787,                0.09251,              0.0013163,              0.0013163,              0.0013163
                      3,                 1.1554,                0.60074,                0.11196,                0.31951,                0.25536,                0.19722,                0.05823,                 1.0686,                0.60885,                0.07846,              0.0019119,              0.0019119,              0.0019119
                      4,                 1.1084,                0.60979,                0.09854,                0.38838,                0.29571,                0.24196,                0.08333,                 1.0561,                0.58297,                0.07875,              0.0018109,              0.0018109,              0.0018109
                      5,                 1.1183,                0.62616,                0.09628,                0.40622,                0.31841,                0.26631,                 0.0917,                 1.0232,                0.61153,                  0.071,              0.0018109,              0.0018109,              0.0018109
                      6,                 1.0144,                0.63989,                0.08461,                0.39042,                0.29256,                0.25332,                0.08675,                 1.0391,                0.59961,                0.07478,              0.0016724,              0.0016724,              0.0016724
                      7,                 1.0083,                0.62757,                0.08473,                0.39863,                0.33607,                0.26101,                0.08229,                   1.04,                0.57251,                0.07408,               0.001505,               0.001505,               0.001505
                      8,                0.98833,                0.63032,                0.08061,                0.42105,                0.29823,                0.27106,                 0.0938,                 1.0441,                 0.5807,                  0.072,              0.0013159,              0.0013159,              0.0013159
                      9,                0.98575,                0.62146,                0.08114,                0.43269,                0.32724,                0.29205,                0.09428,                 1.0326,                0.57703,                0.07636,              0.0011135,              0.0011135,              0.0011135
                     10,                0.99625,                0.61288,                0.08306,                0.48729,                0.31221,                0.29567,                0.09158,                 1.0606,                0.53323,                0.08044,             0.00090652,             0.00090652,             0.00090652
                     11,                0.96714,                0.59823,                0.07521,                0.48463,                0.33165,                0.31801,                0.11177,                 1.0214,                0.57038,                0.07499,             0.00070407,             0.00070407,             0.00070407
                     12,                0.93984,                0.60349,                0.07269,                0.49017,                0.33922,                0.31834,                0.10584,                 1.0483,                0.55151,                0.07323,               0.000515,               0.000515,               0.000515
                     13,                  0.937,                0.59766,                0.07231,                0.47433,                0.36444,                0.33084,                0.11614,                 1.0312,                0.54815,                0.07148,             0.00034756,             0.00034756,             0.00034756
                     14,                0.92741,                0.59386,                 0.0708,                0.51156,                 0.3575,                0.35702,                0.12368,                 1.0245,                0.54594,                0.07229,             0.00020907,             0.00020907,             0.00020907
                     15,                0.92719,                  0.589,                0.07014,                0.49943,                0.37579,                0.35581,                0.12544,                 1.0155,                0.55248,                0.07159,             0.00010559,             0.00010559,             0.00010559
