fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.03932,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.1,0.7,0.4,15.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.03111,0.01,0.01025,0.97908,0.00049,3.0,0.78917,8.20883,0.50753,1.45963,0.1,0.64243,0.39061,15.0,0.1,0.48649,0.0,0.0,0.0,0.52447,0.90939,0.0,0.0
0.0373,0.01004,0.00868,0.937,0.00065,3.84354,0.91614,7.5,0.5,1.63338,0.1,0.80192,0.42887,14.444,0.12886,0.58881,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.02984,0.01087,0.01,0.91546,0.0005,3.0,0.8,7.20956,0.5,1.61538,0.1,0.75466,0.4,15.753,0.0988,0.54117,0.0,0.0,0.0,0.47823,1.0,0.0,0.0
0.02799,0.00787,0.00822,0.84495,0.00064,3.0,0.8,8.0794,0.58736,1.6615,0.08917,0.59745,0.23459,22.76697,0.1,0.5,0.0,0.0,0.0,0.38038,0.89861,0.0,0.0
0.04357,0.01086,0.00962,0.95769,0.00063,3.4047,0.83078,8.62671,0.5,1.47095,0.09589,0.73405,0.43671,14.78556,0.11218,0.58881,0.0,0.0,0.0,0.44902,0.84528,0.0,0.0
0.04057,0.01,0.01,0.91712,0.00054,3.30872,0.8,7.5,0.50528,1.94002,0.1,0.70333,0.29075,15.0,0.10093,0.5842,0.0,0.0,0.0,0.5,0.8631,0.0,0.0
0.0341,0.0107,0.00962,0.95969,0.00064,3.43449,0.81903,8.74601,0.50448,1.50918,0.09589,0.74585,0.4267,15.06215,0.11115,0.60197,0.0,0.0,0.0,0.4479,0.83528,0.0,0.0
0.04748,0.00754,0.00696,0.96521,0.00056,3.12176,0.81623,8.02944,0.51959,2.24648,0.1,0.70333,0.363,15.0,0.09045,0.5842,0.0,0.0,0.0,0.5,0.93019,0.0,0.0
0.04294,0.00754,0.00696,0.97189,0.00057,2.91037,0.81623,7.99621,0.59965,2.57289,0.09094,0.80024,0.3348,17.56805,0.09291,0.62269,0.0,0.0,0.0,0.5,0.99255,0.0,0.0
