                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.205,                 3.6523,                 1.2515,                 0.0341,                0.03972,                0.00589,                 0.0019,                    nan,                    nan,                    nan,               0.070021,              0.0036637,              0.0036637
                      2,                 3.6071,                 4.1329,                 1.3874,                0.08347,                0.08638,                0.02368,                0.00567,                 3.6363,                    nan,                 1.4076,               0.039779,              0.0071957,              0.0071957
                      3,                 3.5558,                 4.0569,                 1.3168,                0.08867,                0.07945,                0.02632,                0.00866,                 3.6408,                 5.8916,                 1.3704,               0.010457,               0.010457,               0.010457
                      4,                 3.4212,                 3.9349,                 1.2817,                0.14338,                 0.1034,                0.04537,                0.01402,                    nan,                    nan,                    nan,               0.010457,               0.010457,               0.010457
                      5,                 3.3789,                 3.8101,                 1.2567,                0.16211,                0.11728,                0.05803,                0.01599,                 3.2549,                 3.5493,                 1.3037,                0.01024,                0.01024,                0.01024
                      6,                 3.2141,                 3.6048,                 1.2303,                0.21178,                 0.1343,                0.08175,                0.02573,                 3.1742,                 3.4619,                 1.2573,               0.010024,               0.010024,               0.010024
                      7,                 3.1179,                 3.5312,                 1.2298,                0.25535,                0.08865,                0.06105,                0.02002,                 3.3217,                 3.9461,                 1.3009,              0.0098072,              0.0098072,              0.0098072
                      8,                 3.0564,                 3.5079,                 1.2164,                0.27808,                0.17389,                0.11297,                0.04183,                 2.8835,                    nan,                 1.2136,              0.0095907,              0.0095907,              0.0095907
                      9,                  3.045,                 3.4231,                 1.2096,                0.28164,                0.15574,                0.11059,                0.03772,                 3.0074,                 3.2639,                 1.2174,              0.0093741,              0.0093741,              0.0093741
                     10,                 2.9969,                 3.3657,                  1.204,                 0.2315,                0.14754,                0.08932,                0.02836,                  2.913,                 3.2532,                 1.2116,              0.0091576,              0.0091576,              0.0091576
                     11,                 2.9048,                 3.2639,                 1.1729,                0.34927,                0.15059,                0.12505,                0.04176,                 2.9202,                 3.0796,                 1.2161,               0.008941,               0.008941,               0.008941
                     12,                 2.9757,                 3.3024,                 1.1846,                0.26414,                0.20913,                0.13583,                0.04974,                 2.7935,                 3.0489,                 1.2096,              0.0087245,              0.0087245,              0.0087245
                     13,                  2.852,                 3.2081,                 1.1643,                0.33896,                0.17844,                 0.1395,                0.05148,                 2.7244,                 3.0458,                 1.1714,              0.0085079,              0.0085079,              0.0085079
                     14,                 2.8394,                 3.1685,                  1.159,                0.31127,                0.19546,                 0.1442,                0.05342,                 2.6986,                 3.1333,                 1.1948,              0.0082914,              0.0082914,              0.0082914
                     15,                 2.7923,                 3.0845,                 1.1632,                0.29278,                0.20933,                0.14683,                0.05306,                 2.7053,                  3.128,                 1.1707,              0.0080748,              0.0080748,              0.0080748
                     16,                 2.7883,                 3.1097,                 1.1416,                0.30146,                0.20807,                0.14702,                0.05464,                 2.6468,                 2.9408,                  1.189,              0.0078583,              0.0078583,              0.0078583
