                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6809,                 7.7392,                 1.2319,                0.14362,                0.10277,                0.04258,                0.01154,                 2.6911,                 2.8717,                 1.2211,             0.00066405,             0.00066405,             0.00066405
                      2,                 2.7312,                 3.0172,                 1.2207,                0.18867,                  0.157,                 0.0762,                0.02518,                 2.7299,                 2.7287,                 1.2194,              0.0013163,              0.0013163,              0.0013163
                      3,                 2.7509,                 2.9237,                 1.2197,                0.19242,                 0.1343,                0.07485,                0.02216,                 2.8015,                  2.664,                 1.2229,              0.0019119,              0.0019119,              0.0019119
                      4,                 2.6987,                 2.8767,                 1.2149,                0.19602,                0.13052,                0.07461,                0.02389,                 2.7207,                  2.665,                 1.2173,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.7234,                 2.8647,                 1.1967,                0.22567,                0.17528,                0.09965,                  0.031,                 2.6697,                 2.6355,                 1.1838,              0.0018109,              0.0018109,              0.0018109
                      6,                  2.594,                 2.7636,                 1.2104,                0.22995,                0.18285,                0.11008,                0.03666,                  2.619,                 2.5751,                 1.1879,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.5316,                 2.7111,                 1.1904,                0.24332,                0.17213,                0.10716,                0.03454,                 2.6737,                  2.454,                 1.2059,               0.001505,               0.001505,               0.001505
                      8,                 2.5241,                 2.6862,                 1.1944,                 0.2634,                0.18852,                0.12401,                0.04305,                 2.5508,                  2.422,                 1.1811,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.5376,                 2.6288,                 1.1795,                0.28565,                0.18852,                0.14065,                0.05208,                 2.5386,                 2.3485,                 1.1699,              0.0011135,              0.0011135,              0.0011135
                     10,                 2.5263,                 2.6427,                 1.1813,                0.29106,                0.18096,                0.13332,                0.04573,                  2.582,                 2.3542,                 1.1885,             0.00090652,             0.00090652,             0.00090652
                     11,                 2.4852,                 2.6084,                 1.1504,                 0.2949,                0.19168,                0.14189,                0.04914,                 2.5685,                 2.3406,                 1.1688,             0.00070407,             0.00070407,             0.00070407
                     12,                 2.4615,                 2.5333,                  1.161,                0.30129,                0.19798,                0.14833,                 0.0528,                 2.4939,                 2.3546,                 1.1372,               0.000515,               0.000515,               0.000515
                     13,                  2.427,                 2.4862,                 1.1449,                0.30548,                0.20681,                0.15273,                0.05302,                 2.5359,                 2.3247,                 1.1502,             0.00034756,             0.00034756,             0.00034756
                     14,                 2.4291,                 2.4999,                 1.1523,                0.34086,                0.18979,                0.16334,                0.05828,                 2.5051,                 2.3091,                 1.1443,             0.00020907,             0.00020907,             0.00020907
                     15,                 2.4169,                 2.4864,                 1.1423,                0.32637,                0.19672,                0.16108,                0.05892,                 2.5022,                 2.2963,                  1.135,             0.00010559,             0.00010559,             0.00010559
                      1,                 2.6809,                 7.7392,                 1.2319,                0.14362,                0.10277,                0.04258,                0.01154,                 2.6911,                 2.8717,                 1.2211,             0.00066405,             0.00066405,             0.00066405
                      2,                 2.7312,                 3.0172,                 1.2207,                0.18867,                  0.157,                 0.0762,                0.02518,                 2.7299,                 2.7287,                 1.2194,              0.0013163,              0.0013163,              0.0013163
                      3,                 2.7509,                 2.9237,                 1.2197,                0.19242,                 0.1343,                0.07485,                0.02216,                 2.8015,                  2.664,                 1.2229,              0.0019119,              0.0019119,              0.0019119
                      4,                 2.6987,                 2.8767,                 1.2149,                0.19602,                0.13052,                0.07461,                0.02389,                 2.7207,                  2.665,                 1.2173,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.7234,                 2.8647,                 1.1967,                0.22567,                0.17528,                0.09965,                  0.031,                 2.6697,                 2.6355,                 1.1838,              0.0018109,              0.0018109,              0.0018109
                      6,                  2.594,                 2.7636,                 1.2104,                0.22995,                0.18285,                0.11008,                0.03666,                  2.619,                 2.5751,                 1.1879,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.5316,                 2.7111,                 1.1904,                0.24332,                0.17213,                0.10716,                0.03454,                 2.6737,                  2.454,                 1.2059,               0.001505,               0.001505,               0.001505
                      8,                 2.5241,                 2.6862,                 1.1944,                 0.2634,                0.18852,                0.12401,                0.04305,                 2.5508,                  2.422,                 1.1811,              0.0013159,              0.0013159,              0.0013159
