                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4854,                 4.9062,                 1.1855,                0.00019,                0.03531,                 0.0001,                  3e-05,                  3.665,                    inf,                   4.19,             0.00066146,             0.00066146,             0.00066146
                      2,                 2.9505,                 3.3956,                 1.3051,                0.00333,                0.15006,                0.00422,                0.00164,                 3.2268,                    inf,                 1.3668,              0.0013138,              0.0013138,              0.0013138
                      3,                 2.8823,                 3.3108,                 1.2833,                0.15314,                0.10593,                0.04727,                 0.0126,                  2.994,                  3.278,                 1.3758,              0.0019094,              0.0019094,              0.0019094
                      4,                 2.8022,                 3.1942,                 1.2511,                0.07702,                0.05864,                0.01798,                0.00625,                 3.0489,                 4.4501,                 1.3144,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.6995,                 3.1543,                 1.2527,                0.14519,                0.06242,                0.03523,                0.01319,                 2.9029,                 3.5667,                 1.2574,              0.0018109,              0.0018109,              0.0018109
                      6,                 2.7018,                 3.1405,                 1.2714,                0.14667,                 0.1053,                 0.0423,                0.01127,                  2.902,                 3.5939,                 1.2729,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.5869,                 2.9608,                  1.235,                0.26071,                0.14439,                0.09581,                0.03155,                 2.6335,                 2.7183,                 1.1991,               0.001505,               0.001505,               0.001505
                      8,                 2.5175,                 2.8396,                  1.209,                0.31273,                0.16583,                0.12144,                0.03854,                 2.6217,                 2.5853,                 1.1948,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.4578,                  2.761,                 1.1825,                0.28169,                0.17087,                0.12114,                0.04002,                 2.5848,                 2.5189,                  1.188,              0.0011135,              0.0011135,              0.0011135
                     10,                 2.3864,                 2.6832,                 1.1721,                0.29809,                0.19483,                0.15076,                0.04961,                 2.4893,                 2.4702,                 1.1656,             0.00090652,             0.00090652,             0.00090652
                     11,                 2.3485,                 2.5468,                 1.1549,                0.33286,                 0.2087,                0.16906,                0.06205,                 2.4131,                 2.2969,                  1.151,             0.00070407,             0.00070407,             0.00070407
                     12,                 2.2664,                 2.4674,                 1.1383,                0.33661,                0.22331,                0.17415,                0.06269,                 2.3674,                  2.256,                 1.1451,               0.000515,               0.000515,               0.000515
                     13,                 2.2192,                 2.3955,                 1.1283,                0.33603,                0.24275,                0.19341,                0.07287,                 2.3015,                 2.1965,                 1.1249,             0.00034756,             0.00034756,             0.00034756
                     14,                 2.1784,                 2.3156,                 1.1082,                0.35659,                0.23266,                0.18625,                0.06719,                 2.3431,                 2.1566,                  1.128,             0.00020907,             0.00020907,             0.00020907
                     15,                 2.1538,                 2.2737,                 1.1102,                0.36214,                0.24905,                0.20281,                0.07471,                 2.3115,                 2.1022,                 1.1234,             0.00010559,             0.00010559,             0.00010559
