                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3611,                 2.4254,                 1.0807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066405,             0.00066405,             0.00066405
                      2,                 2.3905,                 2.5141,                 1.0858,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010672,              0.0010672,              0.0010672
                      3,                  2.448,                  2.586,                 1.1036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012064,              0.0012064,              0.0012064
                      4,                 2.3813,                 2.4865,                 1.1024,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                      5,                 2.3432,                 2.4079,                 1.0813,                0.31206,                0.25158,                0.18341,                0.06467,                 2.2447,                 2.2331,                 1.1063,               0.000812,               0.000812,               0.000812
                      1,                 2.3484,                  2.426,                 1.0776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066842,             0.00066842,             0.00066842
                      2,                 2.3921,                 2.5678,                 1.0939,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010743,              0.0010743,              0.0010743
                      3,                 2.4107,                 2.5608,                 1.1008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      4,                 2.3927,                 2.5226,                 1.1093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      5,                 2.3531,                 2.4438,                 1.0775,                0.33778,                0.24153,                0.18501,                0.07239,                 2.1873,                 2.1794,                 1.1032,               0.000812,               0.000812,               0.000812
                      1,                 2.3365,                 2.4483,                 1.0869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066842,             0.00066842,             0.00066842
                      2,                 2.3672,                 2.5751,                 1.0937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010742,              0.0010742,              0.0010742
                      3,                 2.4077,                 2.6044,                 1.1114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      4,                 2.3994,                 2.5713,                 1.1177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                      5,                 2.3534,                 2.4555,                 1.0926,                0.34871,                0.23581,                0.18461,                0.06789,                 2.2787,                  2.339,                 1.1279,             0.00081194,             0.00081194,             0.00081194
                      1,                 2.3563,                 2.5204,                0.95745,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066319,             0.00066319,             0.00066319
                      2,                  2.416,                 2.6381,                0.97854,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010659,              0.0010659,              0.0010659
                      3,                 2.3947,                 2.6365,                0.98265,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012049,              0.0012049,              0.0012049
                      4,                 2.3196,                 2.5285,                0.96168,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081216,             0.00081216,             0.00081216
                      5,                 2.2916,                 2.4112,                0.95648,                0.33714,                0.24716,                0.19995,                0.07622,                  2.224,                 2.2305,                0.98573,             0.00081216,             0.00081216,             0.00081216
                      1,                 2.6591,                 2.4134,                0.83505,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067553,             0.00067553,             0.00067553
                      2,                 2.7124,                 2.6106,                 0.8619,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010856,              0.0010856,              0.0010856
                      3,                 2.7696,                  2.699,                0.87815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012076,              0.0012076,              0.0012076
                      4,                 2.6976,                 2.5696,                0.84997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012076,              0.0012076,              0.0012076
                      5,                  2.619,                 2.5152,                0.83675,                0.34378,                0.22825,                0.17941,                0.07323,                  2.545,                 2.3763,                0.85906,             0.00081142,             0.00081142,             0.00081142
                      1,                 2.9074,                 2.4126,                0.95035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006693,              0.0006693,              0.0006693
                      2,                 2.9655,                 2.5231,                0.96557,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010761,              0.0010761,              0.0010761
                      3,                 2.9811,                 2.5628,                0.98181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012094,              0.0012094,              0.0012094
                      4,                 2.9937,                 2.5514,                0.98454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012094,              0.0012094,              0.0012094
