                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2847,                 4.0936,                 1.2242,                0.28393,                0.17643,                0.14074,                0.05385,                 2.7287,                  4.634,                 1.4596,               0.070591,              0.0029869,              0.0029869
                      2,                  2.489,                 4.5743,                 1.3137,                0.00614,                0.33944,                0.00465,                0.00201,                    nan,                    nan,                    nan,               0.040968,              0.0058643,              0.0058643
                      3,                 2.5314,                 4.7354,                 1.3416,                0.30147,                0.20818,                0.16522,                0.07126,                 2.4295,                 4.2352,                 1.3411,               0.011227,              0.0086224,              0.0086224
                      4,                 2.4546,                 4.3656,                 1.2886,                0.36745,                0.26557,                0.21992,                0.08555,                 2.3028,                 3.8437,                   1.27,              0.0086694,              0.0086694,              0.0086694
                      5,                 2.3729,                 4.1914,                 1.2533,                0.39862,                0.26068,                0.24083,                 0.1026,                 2.2984,                 3.8504,                 1.2771,              0.0086694,              0.0086694,              0.0086694
                      6,                 2.2663,                 3.9836,                 1.2058,                0.40831,                0.28694,                0.27015,                0.11751,                 2.2428,                 3.6506,                 1.2395,              0.0084859,              0.0084859,              0.0084859
                      7,                 2.2782,                 3.9954,                 1.2068,                0.37878,                 0.2735,                0.24621,                0.10182,                 2.2841,                 3.8376,                 1.2585,              0.0083024,              0.0083024,              0.0083024
                      8,                 2.2417,                 3.9102,                 1.2142,                0.42792,                0.31746,                0.28879,                 0.1209,                 2.1707,                 3.6197,                  1.203,              0.0081189,              0.0081189,              0.0081189
                      9,                  2.245,                 3.8521,                 1.1964,                0.42458,                0.30159,                0.27559,                0.12282,                 2.1794,                 3.6795,                 1.2031,              0.0079353,              0.0079353,              0.0079353
                     10,                 2.1865,                 3.7625,                 1.1935,                0.42575,                0.28144,                0.26377,                0.11238,                 2.2723,                 3.8026,                  1.243,              0.0077518,              0.0077518,              0.0077518
                     11,                 2.1853,                 3.7141,                 1.1752,                0.45586,                 0.3304,                0.32301,                0.14629,                 2.1175,                 3.4051,                 1.1995,              0.0075683,              0.0075683,              0.0075683
                     12,                 2.1212,                 3.6498,                 1.1646,                0.46169,                0.31678,                0.29908,                0.12941,                 2.1107,                 3.5991,                 1.1852,              0.0073848,              0.0073848,              0.0073848
                     13,                 2.1372,                  3.682,                 1.1668,                0.44107,                0.33516,                0.31878,                0.14622,                 2.1075,                 3.4967,                 1.1819,              0.0072013,              0.0072013,              0.0072013
                     14,                 2.1116,                 3.5969,                 1.1601,                 0.4746,                0.34371,                0.34428,                0.16171,                 2.0675,                 3.2996,                 1.1713,              0.0070177,              0.0070177,              0.0070177
                     15,                 2.0831,                 3.5145,                 1.1413,                0.44557,                0.35897,                0.34493,                 0.1589,                 2.0901,                 3.3006,                 1.1713,              0.0068342,              0.0068342,              0.0068342
                     16,                 2.0583,                 3.4013,                 1.1214,                0.50911,                  0.337,                0.33791,                0.15159,                  2.059,                 3.3429,                 1.1635,              0.0066507,              0.0066507,              0.0066507
                     17,                 2.0462,                 3.4107,                  1.124,                0.49674,                0.34649,                 0.3542,                0.15989,                  2.027,                 3.2306,                 1.1389,              0.0064672,              0.0064672,              0.0064672
                     18,                 2.0599,                 3.3466,                  1.132,                0.52917,                0.36915,                0.38201,                0.18289,                 2.0112,                 3.1762,                 1.1474,              0.0062836,              0.0062836,              0.0062836
                     19,                 2.0478,                 3.3585,                 1.1323,                0.54117,                0.36722,                0.39741,                0.18203,                 2.0313,                 3.0851,                 1.1459,              0.0061001,              0.0061001,              0.0061001
                     20,                 2.0381,                  3.298,                 1.1181,                0.50491,                0.37793,                0.37979,                0.17629,                 2.0138,                 3.1257,                 1.1531,              0.0059166,              0.0059166,              0.0059166
                     21,                 2.0262,                 3.3157,                 1.1153,                0.52393,                0.38217,                0.38854,                0.18333,                 2.0076,                  3.196,                 1.1509,              0.0057331,              0.0057331,              0.0057331
                     22,                 2.0218,                 3.2656,                 1.1199,                0.54809,                0.39072,                0.40535,                0.19193,                 1.9958,                 3.0723,                 1.1354,              0.0055496,              0.0055496,              0.0055496
