                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0594,                 2.3518,                 1.3399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065336,             0.00065336,             0.00065336
                      2,                 2.0835,                 2.4357,                 1.3579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010486,              0.0010486,              0.0010486
                      3,                 2.0793,                 2.4284,                 1.3581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011831,              0.0011831,              0.0011831
                      4,                 2.0456,                 2.3505,                 1.3431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080688,             0.00080688,             0.00080688
                      5,                 2.0196,                 2.2952,                 1.3171,                0.51293,                0.37032,                 0.3874,                0.18489,                 2.0122,                 2.1999,                  1.363,             0.00080688,             0.00080688,             0.00080688
                      1,                 2.0844,                 3.0689,                 1.0983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000661,               0.000661,               0.000661
                      2,                 2.0981,                 3.2424,                  1.101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010607,              0.0010607,              0.0010607
                      3,                 2.0648,                 3.1784,                 1.1032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011964,              0.0011964,              0.0011964
                      4,                  2.049,                 3.1362,                 1.1069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080616,             0.00080616,             0.00080616
                      5,                 2.0319,                 3.0701,                 1.0997,                0.52869,                0.39194,                0.39788,                0.18883,                 1.9932,                  2.904,                 1.1141,             0.00080616,             0.00080616,             0.00080616
                      1,                  2.017,                 3.3048,                 1.1081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064792,             0.00064792,             0.00064792
                      2,                 2.0178,                 3.3873,                  1.123,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010396,              0.0010396,              0.0010396
                      3,                 2.0162,                 3.4403,                 1.1217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011725,              0.0011725,              0.0011725
                      4,                 1.9803,                 3.2902,                 1.1009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080571,             0.00080571,             0.00080571
                      5,                 2.0022,                  3.264,                 1.1071,                0.51869,                0.39621,                0.40178,                0.19198,                 1.9482,                 3.0982,                 1.1134,             0.00080571,             0.00080571,             0.00080571
                      1,                  1.982,                 2.1727,                 1.4067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065336,             0.00065336,             0.00065336
                      2,                 1.9921,                 2.3054,                 1.4005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010487,              0.0010487,              0.0010487
                      3,                 1.9746,                 2.2479,                 1.3983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011834,              0.0011834,              0.0011834
                      4,                 1.9448,                 2.1938,                 1.3801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080743,             0.00080743,             0.00080743
                      5,                 1.9187,                 2.1642,                 1.3685,                0.50163,                0.39328,                0.38832,                0.17845,                 1.9262,                 2.0944,                 1.4218,             0.00080743,             0.00080743,             0.00080743
                      1,                 2.0997,                 2.1487,                 1.3721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066667,             0.00066667,             0.00066667
                      2,                 2.0799,                 2.1745,                 1.3648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010699,              0.0010699,              0.0010699
                      3,                 2.0963,                 2.2212,                 1.3745,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012045,              0.0012045,              0.0012045
                      4,                 2.0602,                 2.1971,                 1.3712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012045,              0.0012045,              0.0012045
                      5,                 2.0333,                 2.1175,                 1.3384,                0.51961,                0.37302,                0.38949,                0.18238,                 2.0057,                 1.9806,                 1.3615,             0.00080673,             0.00080673,             0.00080673
                      1,                 2.0558,                 2.3581,                  1.343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065474,             0.00065474,             0.00065474
                      2,                  2.075,                 2.4661,                 1.3674,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010508,              0.0010508,              0.0010508
                      3,                 2.0553,                 2.4396,                 1.3527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011856,              0.0011856,              0.0011856
                      4,                  2.054,                 2.3625,                 1.3498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080686,             0.00080686,             0.00080686
                      5,                  2.028,                 2.3564,                 1.3313,                 0.5175,                  0.384,                 0.3969,                0.19175,                 2.0098,                  2.216,                 1.3767,             0.00080686,             0.00080686,             0.00080686
                      1,                 2.1717,                 2.8867,                 1.0595,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070682,             0.00070682,             0.00070682
                      2,                 2.2137,                 3.0734,                 1.0711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011342,              0.0011342,              0.0011342
                      3,                 2.2018,                 3.0323,                 1.0687,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012043,              0.0012043,              0.0012043
                      4,                 2.2096,                 3.0554,                 1.0853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012043,              0.0012043,              0.0012043
                      5,                 2.1277,                 2.8366,                 1.0381,                0.50598,                0.37118,                0.38984,                0.18328,                 2.1452,                 2.6928,                 1.0809,             0.00080644,             0.00080644,             0.00080644
                      1,                 2.0208,                 3.3126,                 1.1149,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064792,             0.00064792,             0.00064792
