                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1717,                 3.1123,                 1.4212,                0.00032,                0.07998,                0.00018,                  7e-05,                    nan,                    nan,                    nan,             0.00066239,             0.00066239,             0.00066239
                      2,                  2.394,                 2.7442,                 1.5864,                0.31286,                0.23199,                0.17303,                0.06221,                  2.463,                  3.262,                 1.5989,              0.0013147,              0.0013147,              0.0013147
                      3,                 2.3753,                 2.7108,                 1.5778,                0.01076,                0.00122,                0.00575,                0.00173,                    nan,                    nan,                    nan,              0.0019103,              0.0019103,              0.0019103
                      4,                 2.3406,                 2.6938,                 1.5584,                0.32294,                0.25214,                 0.1999,                0.07201,                 2.4389,                 2.5857,                 1.5599,              0.0018109,              0.0018109,              0.0018109
                      5,                  2.249,                  2.565,                  1.496,                0.37218,                0.22039,                0.19624,                   0.08,                 2.3518,                 2.7477,                 1.5021,              0.0018109,              0.0018109,              0.0018109
                      6,                 2.2245,                 2.5372,                 1.5321,                0.34817,                0.27045,                0.22633,                0.08815,                 2.3317,                 2.4661,                 1.5182,              0.0016724,              0.0016724,              0.0016724
                      7,                  2.152,                 2.3895,                 1.5003,                0.44725,                0.25763,                0.26274,                0.10649,                 2.3255,                 2.4135,                 1.4834,               0.001505,               0.001505,               0.001505
                      8,                  2.094,                 2.3112,                 1.4809,                0.40919,                0.28327,                0.26973,                0.08821,                  2.472,                 2.2357,                 1.5621,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.0805,                 2.2087,                 1.4616,                0.44822,                 0.3164,                0.30866,                 0.1281,                 2.2295,                 2.0131,                 1.4569,              0.0011135,              0.0011135,              0.0011135
                     10,                  2.027,                 2.1508,                 1.4304,                0.46786,                0.32957,                0.32891,                0.14296,                 2.1171,                 2.0024,                 1.4023,             0.00090652,             0.00090652,             0.00090652
                     11,                 1.9707,                 2.0635,                 1.3978,                0.47454,                0.34799,                0.34214,                0.13451,                 2.2413,                 1.9647,                 1.4573,             0.00070407,             0.00070407,             0.00070407
                     12,                 1.9608,                 2.0021,                 1.4033,                0.50842,                0.35296,                0.36617,                0.15153,                 2.2223,                 1.8815,                 1.4414,               0.000515,               0.000515,               0.000515
                     13,                 1.9092,                  1.932,                 1.3672,                 0.5287,                0.38969,                0.39777,                0.16685,                 2.1501,                 1.7999,                 1.4089,             0.00034756,             0.00034756,             0.00034756
                     14,                 1.8969,                 1.8876,                  1.371,                0.51248,                0.39316,                0.39661,                0.16055,                 2.2109,                 1.8019,                 1.4341,             0.00020907,             0.00020907,             0.00020907
                     15,                 1.8665,                 1.8441,                 1.3524,                0.54076,                0.40041,                0.41479,                0.17092,                  2.183,                 1.7685,                 1.4186,             0.00010559,             0.00010559,             0.00010559
