                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7729,                 5.0507,                 1.0179,                0.02933,                 0.2396,                0.04192,                0.01176,                 3.1029,                 6.7374,                 1.1342,               0.070627,              0.0029833,              0.0029833
                      2,                 3.1935,                 5.6805,                 1.0812,                0.18387,                 0.0662,                0.04219,                0.01165,                 3.0863,                 5.3773,                 1.0914,               0.041019,              0.0058593,              0.0058593
                      3,                 3.2723,                 5.8625,                  1.107,                0.09762,                0.06053,                0.02136,                0.00519,                    nan,                    nan,                    nan,               0.011291,              0.0086161,              0.0086161
                      4,                 3.1563,                 8.7745,                 1.0843,                0.17413,                0.11728,                0.05903,                0.01864,                 2.9198,                 4.9381,                 1.0467,              0.0086694,              0.0086694,              0.0086694
                      5,                 3.0429,                 5.3628,                 1.0495,                 0.4146,                0.05895,                0.08894,                0.03373,                 2.8274,                  5.322,                 1.0452,              0.0086694,              0.0086694,              0.0086694
                      6,                 2.9569,                 5.0799,                 1.0363,                0.23385,                0.14565,                0.08983,                0.03146,                 2.6779,                 4.5821,                 1.0229,              0.0084859,              0.0084859,              0.0084859
                      7,                 2.8357,                 4.8809,                0.99131,                0.21528,                0.15448,                0.08588,                0.02741,                 2.7422,                 4.9067,                 1.0056,              0.0083024,              0.0083024,              0.0083024
                      8,                 2.8306,                 4.9389,                 1.0076,                0.24787,                0.13808,                0.09931,                0.03484,                 2.7214,                 4.5744,                 1.0207,              0.0081189,              0.0081189,              0.0081189
                      9,                 2.7684,                 4.7671,                0.98948,                0.25744,                0.17591,                0.11952,                 0.0439,                 2.6201,                 4.3815,                 1.0068,              0.0079353,              0.0079353,              0.0079353
                     10,                  2.775,                 4.7583,                 1.0059,                0.27627,                0.16898,                0.12563,                0.04445,                 2.5838,                  4.272,                 0.9989,              0.0077518,              0.0077518,              0.0077518
                     11,                 2.6869,                 4.6083,                 0.9557,                0.30792,                0.19798,                 0.1479,                0.05398,                 2.5257,                 4.1043,                0.98153,              0.0075683,              0.0075683,              0.0075683
