                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8588,                 3.7276,                 0.8431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071049,             0.00071049,             0.00071049
                      2,                 2.8607,                 3.8213,                0.84626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011405,              0.0011405,              0.0011405
                      3,                 2.9339,                 3.8037,                0.85577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012041,              0.0012041,              0.0012041
                      4,                 2.9125,                 3.7403,                0.85284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012041,              0.0012041,              0.0012041
                      5,                 2.8016,                 3.5574,                 0.8227,                0.35876,                0.25599,                0.20308,                0.08457,                 2.5421,                 3.2424,                0.82545,             0.00080616,             0.00080616,             0.00080616
                      1,                 2.2885,                 4.0608,                0.97538,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069399,             0.00069399,             0.00069399
                      2,                 2.2948,                 4.0538,                0.97156,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001114,               0.001114,               0.001114
                      3,                 2.2481,                 4.0782,                0.97563,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012041,              0.0012041,              0.0012041
                      4,                 2.3146,                 4.1702,                0.97955,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012041,              0.0012041,              0.0012041
                      5,                 2.2768,                 3.8995,                0.95478,                0.40441,                0.25088,                0.21114,                0.07889,                 2.1284,                 3.4953,                0.96808,             0.00080614,             0.00080614,             0.00080614
                      1,                 2.3858,                 4.0496,                0.93621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064713,             0.00064713,             0.00064713
                      2,                 2.4138,                 4.2417,                 0.9291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010387,              0.0010387,              0.0010387
                      3,                 2.4262,                 4.1417,                0.91806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011717,              0.0011717,              0.0011717
                      4,                 2.3392,                 3.8744,                0.90105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080582,             0.00080582,             0.00080582
                      5,                 2.3668,                 4.0187,                0.91906,                0.32709,                0.24212,                0.19171,                0.07691,                 2.2054,                 3.5144,                  0.916,             0.00080582,             0.00080582,             0.00080582
                      1,                 2.6073,                 2.9771,                  1.073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065464,             0.00065464,             0.00065464
                      2,                 2.6695,                  2.984,                 1.0537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001051,               0.001051,               0.001051
                      3,                 2.6738,                 3.0037,                 1.0922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011859,              0.0011859,              0.0011859
                      4,                 2.5464,                 2.8634,                 1.0415,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080686,             0.00080686,             0.00080686
                      5,                 2.5513,                 2.8059,                 1.0367,                0.37603,                0.22257,                0.18789,                0.07961,                 2.4682,                 2.5802,                 1.0515,             0.00080686,             0.00080686,             0.00080686
                      1,                 2.0997,                 5.0315,                0.87561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070263,             0.00070263,             0.00070263
                      2,                 2.1501,                 5.1949,                0.89861,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011278,              0.0011278,              0.0011278
                      3,                 2.1515,                 5.1571,                0.88632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012038,              0.0012038,              0.0012038
                      4,                 2.1277,                 5.1278,                 0.8856,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012038,              0.0012038,              0.0012038
                      5,                 2.1045,                 5.0571,                0.88608,                0.39221,                0.23203,                0.20159,                0.08159,                 1.9885,                 4.5422,                0.88142,             0.00080571,             0.00080571,             0.00080571
